Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Caderius van Veen, Willemina Adriana Paulien Johanna",P117833,1.0,206,32,Agrarische (36722) - Lid Raad van Toezicht
"Schoenmakers, Vincentius Gerardus Petrus Johannes Maria",P101622,1.0,NA,NA,Bisdommen (60263) - Bestuurder
"Meurs, Henri Francois",P131434,1.0,206,1073,Nedlloyd (47121) - Bestuurder
"Niekus-van Waveren, Hannah Elise",P114711,1.0,NA,NA,IFF (9873) - Bestuurder
"Griffioen, Peter Paul",P121313,1.0,206,776,KLM Vliegend Personeel (2200) - Bestuurder
Schotman,P117998,1.0,NA,NA,Smurfit Nederland (60713) - Bestuurder
Snelleman,P121593,1.0,NA,NA,HAL (2776) - Bestuurder
"Oude Reimer, Marianne Monique",P117722,1.0,NA,NA,Hagee (4654) - Bestuurder
"Zegwaard, Mariska Leonie",P132458,1.0,206,654,IKEA (60933) - Bestuurder
"Parênt, Wilhelmus Maria",P128307,1.0,206,338,Architectenbureaus (16534) - Bestuursvoorzitter
"Lemmens, Peter Willem Iskander",P100082,1.0,206,1181,Ten Cate (60019) - Bestuurder
"Verhoef, Rob",P129051,1.0,206,1088,Hoogovens (7044) - Bestuurder
"Plat, Jan Charles",P126550,1.0,206,636,Stork (6172) - Bestuurder
Rodenburg,P116704,1.0,206,1085,E-Way (60876) - Bestuurder
"Smals, Bart Max Geert",P115817,1.0,206,377,Medewerkers Apotheken (15565) - Bestuurder
"Uittenbogaard, Thomas",P112927,1.0,206,395,Particuliere Beveiliging (60514) - Bestuurder
"Kruijff, Rudi",P122096,0.252,19,293,Norit (3580) - Bestuurder<br />Gasunie (36105) - Actuaris<br />Zoetwarenindustrie (32436) - Actuaris<br />Mars (34780) - Actuaris
"Morabit, Najim el",P126732,1.0,NA,NA,DuPont  (60697) - Bestuurder
"Schie, van",P118116,1.0,NA,NA,CRH (6065) - Bestuurder
