Naam,ID,Clustering,Rank (Betweenness centr.),Rank (Eigenvector centr.),Fonds en functies
"Quaden, Hendrikus Hubertus Elisabeth Joseph",P116808,1.0,206,924,AZL (60011) - Bestuurder
"Vincken, Leonardus Hubertina Carolus",P110366,1.0,206,561,Recreatie (60799) - Bestuurder
"Varst, van der",P116986,1.0,NA,NA,ERIKS  (4308) - Bestuurder
"Vliet, Iman Johannes van",P110677,1.0,206,742,Grafische Bedrijven (PGB) (14089) - Mede-beleidsbepaler
"Bartels, Maria Elisabeth Adriana",P128809,1.0,NA,NA,Verloskundigen (8) - Bestuursvoorzitter
"Schaap, Margaretha Anna Geertruida (Marga)",P122626,0.462,45,521,Loodswezen (60465) - Bestuursvoorzitter<br />Zeevisserij (36945) - Bestuursvoorzitter
"Wanrooij, Franciscus Lucien Joseph van",P113967,1.0,206,735,Spoorweg  (32) - Bestuurder
"Verwelius, Lambert Stefanus",P105159,NA,NA,NA,Voorzieningsfonds Verwelius (53150) - Bestuurder
"Veen, Johannes Pieter van der",P104977,1.0,NA,NA,Bavaria (60786) - Bestuurder
"Bergmans, Nicolaas Johannes Cornelis",P100978,1.0,NA,NA,BP (60348) - Bestuurder
"Cooijmans, Johanna Cornelia Josephia Maria",P109255,1.0,NA,NA,Sligro (60834) - Bestuurder
"Krauts, Robert Antonius Aleida Maria",P127019,1.0,206,1010,SCA Hygiene (60777) - Bestuurder
"Burger, Gerardus Jan",P103772,1.0,NA,NA,PPG Industries  (60534) - Bestuurder
"Bikkers, Carel",P101963,1.0,206,364,Banden- en Wielen (60374) - Bestuurder
"Ridder, Cornelis de",P115381,1.0,206,600,Campina (60564) - Bestuursvoorzitter
"Welman, Carl Gustaaf Maria",P118050,1.0,NA,NA,Lucht- en Ruimtevaartlaboratorium (2931) - Bestuurder
"Willigen, Jacobus Hubertus Gerrit van",P110256,1.0,NA,NA,Vredestein Banden (60921) - Bestuurder
"Hof, Godefridus Johannes Josephus van 't",P118326,1.0,NA,NA,Goudse Haven (60627) - Bestuurder
"Engelen, Johannes Fredericus van",P118536,1.0,NA,NA,DSM (49417) - Bestuurder
"Soepenberg, Jan Hendrik Egbert",P128271,1.0,NA,NA,Thales   (6004) - Bestuurder
"Wurff, Adrianus Wilhelmus Ignatius Maria van der",P120960,0.471,68,538,Transport (5580) - Bestuursvoorzitter<br />Zorgverzekeraars (23361) - Bestuursvoorzitter
"Janssen, Wim",P112796,1.0,206,1200,Heinz (7158) - Bestuurder
"Hermes, Janneke",P103486,1.0,206,942,Gasunie (36105) - Bestuurder
"Bot, Eric Volquines Gerardus",P116411,1.0,206,1033,SNS Reaal  (60701) - Bestuurder
"Kies, Robert",P110615,1.0,206,470,KLM Algemeen (2199) - Bestuurder
"Schuit, Steven Reinier",P130373,1.0,NA,NA,Medische Specialisten (3) - Lid Raad van Toezicht
"Meer, Hendrik Jan van der",P116814,0.282,47,19,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Bestuurder<br />Tandtechniek (42469) - Bestuurder<br />Slagersbedrijf (10561) - Bestuurder<br />IKEA (60933) - Bestuurder"
"Vermeulen, Marc Omer Elisa",P107166,1.0,206,689,TDF Botlek (60677) - Bestuurder
"Gameren, Theodorus van",P121577,1.0,206,410,Co-op (7842) - Bestuursvoorzitter
"Geven, Jeroen",P131080,1.0,206,781,Mercer (6102) - Bestuurder
"Derriks, Johannes Christoffel",P118088,1.0,206,930,Wolters Kluwer  (60540) - Bestuurder
"Poorthuis, Franciscus Marinus Maria",P130402,1.0,206,446,Tandtechniek (42469) - Bestuurder
"Degenhardt, Rudolf",P121043,0.48,40,727,Achmea (60917) - Lid Raad van Toezicht<br />Grafische Bedrijven (PGB) (14089) - Bestuursvoorzitter
"Oerlemans, Alwin Gerolt",P116437,1.0,NA,NA,Personeelspensioenfonds APG (2392) - Bestuurder
"Perik, Odette Marie Constance",P132089,1.0,206,334,Zorg en Welzijn (44862) - Bestuurder
"Muijsenberg, Johannes Franciscus Maria Antonius van den",P117010,1.0,206,836,Xerox (60793) - Bestuurder
"Keijer, Harm Jan",P120935,1.0,206,302,Metaal en Techniek (PMT) (10557) - Bestuurder
"Wierenga, Eva",P104294,1.0,NA,NA,Ernst & Young (6085) - Bestuurder
"Luunen, Hijbert Jacobus van",P116458,1.0,206,306,Metaal en Techniek (PMT) (10557) - Bestuurder
"Marcha, Valdemar Florentino",P109010,1.0,206,966,Caribisch Nederland (60952) - Bestuurder
"Ketting, Dirk",P129175,1.0,206,614,Openbaar Vervoer (60276) - Bestuurder
"Vletter, Cornelis",P110174,1.0,206,870,Vopak (60882) - Bestuurder
"Klijn, Johannes Eduard",P121695,0.539,168,24,Vleeswaren Prepensionering (60755) - Bestuursvoorzitter<br />Slagersbedrijf (10561) - Bestuursvoorzitter<br />Vleesindustrie (14311) - Bestuursvoorzitter
"Noordman, Willem Johannes Maria",P120002,0.483,115,149,Metalektro (PME) (10542) - Bestuurder<br />Pensioenfederatie  (12345) - Bestuurder
"Ende, Danielle van der",P108714,1.0,NA,NA,Alliance (9041) - Bestuurder
"Bergsma, Gerard Hendrik",P114057,0.584,98,320,Caribisch Nederland (60952) - Bestuurder<br />Zorg en Welzijn (44862) - Bestuurder
"Starren, Martinus Hubertus Petrus",P112758,1.0,206,927,AZL (60011) - Bestuurder
"Volkeri, Theodorus Leendert",P118083,1.0,206,256,Bakkersbedrijf (10682) - Bestuurder
"Spierings, Victor Andre Theodoor",P125868,1.0,206,792,Transavia Grond- en Cabinepersoneel (M0003) - Bestuurder
"Snoek, Martine Corina",P104341,1.0,206,661,Robeco (51180) - Bestuurder
"Luijten, Wouter Alexander",P105264,1.0,NA,NA,ORTEC (60818) - Bestuurder
"Wit, Martinus Johannes Antonius de",P109395,1.0,206,971,Huisartsen in Opleiding (60910) - Bestuurder
"Troost, Cornelis",P102996,1.0,206,1180,Ten Cate (60019) - Bestuurder
"Neuhaus, Dirk Willem",P130174,1.0,NA,NA,Cap Gemini  (60543) - Bestuurder
"Geer, Jacobus Leonardus Petrus van der",P112098,1.0,206,838,Xerox (60793) - Bestuurder
"Heuvelen, Freerk Koert van",P114001,1.0,NA,NA,PPG Industries  (60534) - Bestuurder
"Veldhoven, Peter Wilhelmus Maria van",P106373,1.0,206,1143,Cosun (7777) - Bestuurder
"Weber, Désirée Josephina Maria",P109861,1.0,NA,NA,Cap Gemini  (60543) - Bestuurder
"Yagoubi, Hanan",P107947,1.0,206,1046,Bibliotheken (17687) - Bestuurder
"Maanen, Richard Ferdinand Elbert Charles",P121550,1.0,NA,NA,Royal Leerdam (60886) - Bestuurder
"Boer, Franciscus Antonius de",P101917,1.0,206,444,Houthandel (10559) - Bestuurder
"Veltkamp, Johannes Danïel Wilhelm",P107458,1.0,206,647,Horeca (32868) - Bestuurder
"Leer, Bastiaan Cornelis van der",P107855,1.0,206,886,Shell (SSPF) (4634) - Bestuurder
"Jong, Arend Reinier de",P107474,0.433,111,416,KLM Vliegend Personeel (2200) - Bestuurder<br />KLM Algemeen (2199) - Bestuurder<br />KLM-Cabinepersoneel (60109) - Bestuurder
"Groenewoud, Jean-Paul",P101603,1.0,NA,NA,Legal & General (48965) - Bestuurder
"Sterk, Ronald",P114781,1.0,206,495,Media PNO  (1626) - Bestuurder
"Lefering, Jan-Chris",P101608,1.0,NA,NA,Legal & General (48965) - Bestuurder
"Voort-Bergman, Cindy van der",P104491,1.0,NA,NA,Honeywell (14682) - Bestuurder
"Scheepers, Gerard Maarten",P131084,1.0,NA,NA,Equens (46609) - Bestuurder
"Snoeij, Edith Louise",P107716,0.331,36,41,Media PNO  (1626) - Voorzitter Raad van Toezicht<br />KPN (60767) - Bestuurder<br />Medewerkers Apotheken (15565) - Lid Raad van Toezicht
"Valk-Noordbruis, Petra",P108409,1.0,NA,NA,Kas Bank (4306) - Bestuurder
"Boer, Antonius Maria Jean de",P118647,1.0,NA,NA,DSM (49417) - Bestuurder
"Nagtegaal, Robert George",P120788,0.509,90,319,Blue Sky Group (60866) - Bestuursvoorzitter<br />Architectenbureaus (16534) - Bestuurder
"Tromp, Adriaan Christiaan",P127594,0.197,9,8,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Lid Raad van Toezicht<br />Schoen en Leder (11756) - Lid Raad van Toezicht<br />Levensmiddelen Groothandel (34561) - Lid Raad van Toezicht<br />Notariaat (13358) - Lid Raad van Toezicht<br />Bakkersbedrijf (10682) - Bestuurder<br />Drankindustrie (30355) - Lid Raad van Toezicht"
"Heeswijk-Kuster, Monique Elisabeth Paula Josephina van",P123217,1.0,NA,NA,DSM (49417) - Bestuurder
"Schenkel, Mark",P104253,1.0,206,1077,Nedlloyd (47121) - Bestuurder
"Bosman, Erwin Hermanus Wilhelmus",P115387,0.402,58,60,Grolsch Bierbrouwerij (3053) - Bestuurder<br />STIPP (60792) - Bestuursvoorzitter<br />Bloemen en Planten (60929) - Bestuurder
"Slingerland, Clemens Maria Antonius van",P106274,1.0,NA,NA,Hunter Douglas (34124) - Bestuurder
"Galen, Lambertus Hendrik Hugo Oscar van",P118656,1.0,206,979,Brocacef (50018) - Bestuurder
"Kempe, Cornelis",P117318,1.0,206,807,De Hoop (6184) - Bestuurder
"Candel, Frans",P106035,1.0,206,1094,Hoogovens (7044) - Bestuurder
"Roozemond, Christine Elizabeth",P100615,0.348,56,49,ABN AMRO Bank (7113) - Bestuurder<br />ABP (30) - Lid Raad van Toezicht<br />Waterbouw (14400) - Bestuursvoorzitter
"Kleynen, Rudolf Hubert Marie Arie",P108092,1.0,NA,NA,Medische Specialisten (3) - Lid Raad van Toezicht
"Raaijmakers, Johannes Jacobus Maria",P126441,0.471,80,257,Groothandel (42049) - Lid Raad van Toezicht<br />Accountancy (37678) - Bestuurder
"Roos, Willem Albert",P111256,1.0,206,1119,Achmea (60917) - Bestuurder
"Bolderen, Alex Wilhelmus Johannes Maria van",P107297,0.619,116,321,Huisartsen in Opleiding (60910) - Bestuurder<br />Zorg en Welzijn (44862) - Bestuurder
Jansen,P116441,1.0,206,741,Grafische Bedrijven (PGB) (14089) - Bestuurder
"Santen, Petrus Aloysius Willibrordus",P117505,1.0,NA,NA,Cindu International (5087) - Bestuurder
"Westhuis, Andreas Samuel",P103735,1.0,NA,NA,Invista (60911) - Bestuurder
"Lorier, Andries Johannes",P104719,1.0,NA,NA,Martinair Vliegers (60327) - Bestuurder
"Koning, Gerardus Nicolaas",P113214,1.0,206,770,Urenco (60592) - Bestuurder
"Jakobs, Marjan Tine",P131467,1.0,206,657,Zuivel en aanverwante industrie (R129401) - Lid Raad van Toezicht
Stolk,P118623,1.0,206,1129,Sagittarius (60689) - Bestuurder
"Rollfs of Roelofs, Cornelis",P130185,1.0,206,753,Getronics (60376) - Bestuurder
"Hoog, Antonie de",P107318,1.0,NA,NA,TBI (60342) - Bestuurder
"Brandse, Wim Paul",P109044,1.0,NA,NA,Unisys (60388) - Bestuursvoorzitter
"Meer, Johanna Francisca Maria van der",P130918,1.0,206,192,ABP  (30) - Lid Raad van Toezicht
"Harten, Miranda van",P109218,1.0,NA,NA,Atradius (20269) - Bestuurder
"Rooijen, Gerardus Johannes van",P104658,1.0,NA,NA,Delta Lloyd (16761) - Bestuurder
"Vaes, Mathieu Johannes Josephus",P130927,1.0,206,456,Bouwmaterialen (16458) - Bestuurder
"Dekker, Leo Jacques Louis",P108078,1.0,206,403,Zoetwarenindustrie (32436) - Bestuursvoorzitter
"Heijnen, Marinus Theodorus Johannes",P112219,1.0,206,358,Meubelindustrie (12212) - Bestuurder
"Winterink, Johannes Albertus Willem",P132141,1.0,NA,NA,Rabobank (37247) - Bestuurder
Miedema,P118875,1.0,NA,NA,Avebe (60602) - Bestuursvoorzitter
"Zuijlen, van",P118673,1.0,206,987,APF (7781) - Bestuurder
"Kort, e/v Kleinpenning, Margo Henrique De",P105881,1.0,206,684,Kunststof- en Rubber (33708) - Bestuurder
"Brink, Jan van den",P121228,1.0,206,467,KLM Algemeen (2199) - Bestuurder
"Schuurmans, Cornelis Ronald",P130506,1.0,206,579,UWV (60889) - Bestuurder
"Schimmel, Petrus Johannes Cornelis",P100965,1.0,NA,NA,PPG Industries  (60534) - Bestuurder
"Clement, Robert",P124479,1.0,NA,NA,Progress Unilever (60114) - Bestuurder
"Leeftink, Berend Jan",P118357,1.0,NA,NA,Pensura (60899) - Bestuurder
"Meijer, Marinus",P131431,1.0,206,1165,Consumentenbond (60754) - Bestuurder
"Nagtegaal, Andries Abert (Dries)",P121999,0.347,82,50,Bouwnijverheid (10547) - Voorzitter Raad van Toezicht<br />Metalektro (PME) (10542) - Bestuurder<br />SABIC (60891) - Bestuurder
"Lange, Henriëtte Wilhelmina Laurina Adriana de",P109836,0.494,161,148,Houtverwerkende industrie (15629) - Lid Raad van Toezicht<br />Koopvaardij (11322) - Bestuurder
"Grootendorst, Eldert Cornelis",P117577,0.473,167,970,PostNL (60463) - Bestuurder<br />Bibliotheken (17687) - Bestuurder
"Duhoux, IJpeus Johannes",P105401,1.0,206,796,Albemarle (60920) - Bestuurder
"Haterd, Wilhelmina Dorothea van de",P106338,1.0,NA,NA,Nike  (60734) - Bestuurder
"Terpstra, Franciscus Catharinus Lucas",P105039,1.0,206,820,TDV (47985) - Bestuurder
"Weers, van",P117777,NA,NA,NA,Verzicht (36548) - Bestuurder
"Kuenen, Joris Donald",P117490,1.0,206,860,Unirobe Meeus (60171) - Bestuurder
"Crombeen, Johannes Gijsbertus (Hans)",P127269,1.0,206,199,Waterbouw (14400) - Bestuursvoorzitter
"Merwe)-van der Laan, Renee Ann (van de",P114599,1.0,206,542,Elsevier (50052) - Bestuurder
"Veen, Hendrik IJsbrand",P123063,NA,NA,NA,VIBA   (124) - Bestuurder
"Gameren, Petrus van",P110121,0.462,62,42,TNT express (R128839) - Bestuursvoorzitter<br />KPN (60767) - Bestuursvoorzitter<br />Kappersbedrijf (44380) - Lid Raad van Toezicht
"Schuijt, Hendrik",P107719,0.359,51,126,Architectenbureaus (16534) - Bestuurder<br />Holland Casino (60196) - Bestuurder<br />Detailhandel (47678) - Lid Raad van Toezicht
"Mol, Niek",P128262,0.256,12,1127,Sagittarius (60689) - Bestuursvoorzitter<br />Ten Cate (60019) - Bestuursvoorzitter<br />Metro (47074) - Bestuurder<br />Huntsman Rozenburg (4343) - Bestuurder
"Labadie, Rob Cornelis",P118461,1.0,206,346,Houtverwerkende industrie (15629) - Lid Raad van Toezicht
"Marchée, MauriceEduard Theodoor",P122413,1.0,206,258,Groothandel (42049) - Bestuurder
"Rossum, Ronald van",P106372,1.0,NA,NA,Panteia (60513) - Bestuurder
"Heukels, Willem Frederik",P130602,1.0,NA,NA,Cap Gemini  (60543) - Bestuurder
"Altenburg, Petronelle Maria",P104364,1.0,206,495,Media PNO  (1626) - Bestuursvoorzitter
"Lefel, Franciscius Martinus Antonius",P125877,1.0,206,264,Koopvaardij (11322) - Bestuurder
"Groen, Wirtje Bryce",P120834,1.0,206,442,Houthandel (10559) - Bestuurder
"Uittenbroek, Arie Leendert",P130626,1.0,NA,NA,Philips (900) - Bestuurder
"Kuilen, Gerard Elbertus van de",P113957,0.367,29,134,Medewerkers Apotheken (15565) - Lid Raad van Toezicht<br />Zoetwarenindustrie (32436) - Lid Raad van Toezicht<br />Kappersbedrijf (44380) - Bestuurder
"Musters, Franciscus Jacobus Maria",P105145,1.0,NA,NA,Alcatel-Lucent (60607) - Bestuurder
"Bijl, Micon",P100298,1.0,NA,NA,Medische Specialisten (3) - Bestuursvoorzitter
"Kemme, Jasper Bernard Joseph",P125296,1.0,NA,NA,Philips (900) - Bestuurder
"Planque, Jan Cornelis de",P121395,1.0,206,218,STIPP (60792) - Bestuurder
"Mittertreiner, Franciscus Johannes",P127074,1.0,206,1126,Achmea (60917) - Bestuurder
"Schols - van Oppen, Emilie Marie Francoise van",P130632,0.322,94,229,Molenaars (18397) - Lid Raad van Toezicht<br />Nederlandsche Bank (7837) - Voorzitter Raad van Toezicht<br />Rockwool (60085) - Voorzitter Raad van Toezicht
"Beijer, Johan Hendrik",P110705,1.0,NA,NA,MSD (50051) - Bestuurder
"Leerdam, Jan T van",P106008,1.0,NA,NA,Alcatel-Lucent (60607) - Bestuurder
"Nuijten-van Aard, Adriana Johanna Antonetta",P114900,0.537,185,278,Schoen en Leder (11756) - Bestuursvoorzitter<br />Schoenmakerij (32181) - Bestuursvoorzitter
"Bamberg, Guido",P125193,1.0,NA,NA,Equens (46609) - Bestuurder
"Pontier, Johan Hendrik",P124266,1.0,206,495,Media PNO  (1626) - Lid Raad van Toezicht
"Konijn, Hendrikus Fredrikus Martinus",P116168,1.0,NA,NA,Heineken (1757) - Bestuurder
"Marseille, Mark",P107087,1.0,NA,NA,Sanoma (60873) - Bestuursvoorzitter
"Deij, Marc Joseph",P100046,1.0,NA,NA,Nielsen AC (22742) - Bestuurder
"Kartman, Miriam Inez",P109736,0.647,203,696,KLM Vliegend Personeel (2200) - Bestuurder<br />KLM-Cabinepersoneel (60109) - Bestuurder
"Bekker, Antonius Mattheus Joseph de",P119003,0.337,63,414,Bouwmaterialen (16458) - Lid Raad van Toezicht<br />TDV (47985) - Bestuurder<br />Henkel (342) - Bestuurder
"Terpstra, Sybren Henk",P103231,1.0,206,501,Media PNO  (1626) - Bestuurder
"Grisin, Scott Andrew",P129702,1.0,NA,NA,BMS (60801) - Bestuurder
"Bosch, Steven van den",P101380,1.0,NA,NA,Givaudan (60942) - Bestuurder
"Zeeuw, Krijn de",P126591,1.0,206,714,Security (60523) - Bestuursvoorzitter
"Son, Garardus Adrianus Maria van",P128344,1.0,206,1118,Achmea (60917) - Bestuurder
"Loo, Pieter Dingenis van",P107801,1.0,206,528,Nederlandsche Bank (7837) - Bestuurder
"Montfort, Leon Marie Octave van",P108080,1.0,206,819,TDV (47985) - Bestuurder
"Boekhorst, Katinka",P116068,1.0,206,323,Kappersbedrijf (44380) - Bestuurder
"Hommes, Ruud",P106377,0.536,121,133,Bouwnijverheid (10547) - Lid Raad van Toezicht<br />IBM Nederland (60676) - Bestuurder
"Wit, Johannes de",P101494,1.0,206,982,Brocacef (50018) - Bestuurder
"Westgeest, Petrus Martinus",P109876,1.0,206,943,Shell Nederland (SNPS) (60960) - Bestuurder
"Berghuis, Jan",P117735,1.0,206,308,Metaal en Techniek (PMT) (10557) - Bestuurder
"Keijzer, Willem",P128347,1.0,206,721,Croda (60943) - Bestuurder
"Daas, Diederik Peter Otto den",P104023,1.0,206,1098,PepsiCo Nederland (60819) - Bestuurder
"Knottnerus, Peter Martijn",P130982,1.0,206,1149,Cosun (7777) - Bestuurder
"Peters, Hedwig Gerarda Ignata Maria",P128873,0.494,135,462,Recreatie (60799) - Voorzitter Raad van Toezicht<br />Openbaar Vervoer (60276) - Bestuurder
"Keijzer, Johannes Martinus Jacobus Josephus de",P106461,1.0,206,92,Slagersbedrijf (10561) - Bestuurder
Friederich,P118068,1.0,NA,NA,Goudse Haven (60627) - Bestuurder
"Louwhoff, Henricus Antonius",P102835,1.0,206,410,Co-op (7842) - Bestuurder
"Haasen, Alain Bruce van",P130233,1.0,206,957,Fysiotherapeuten (7) - Bestuurder
"Blomsma, Roel Petrus Ferdinand",P104064,1.0,206,73,KPN (60767) - Bestuurder
"Vries, Stefanie Marie Louise de",P106879,1.0,206,989,APF (7781) - Bestuurder
"Pol, Willem Lambertus",P105646,1.0,206,858,Unirobe Meeus (60171) - Bestuurder
"Benima, Danny",P130168,1.0,206,952,ARCADIS Nederland (2607) - Bestuurder
"Geus, Paul Willem de",P130669,1.0,206,366,Banden- en Wielen (60374) - Bestuurder
"Poel, Jan Hendrik Roelof van de",P114076,1.0,206,352,Werk en (re)Integratie (PWRI) (60655) - Lid Raad van Toezicht
"Simons, Evelyne Andrea",P116134,1.0,206,400,Schoonmaak- en Glazenwassers (42937) - Bestuurder
"Kuijken, Cornelis David (Kees)",P122758,1.0,206,986,APF (7781) - Bestuursvoorzitter
"Bajema, Petrus Frederik",P122857,1.0,206,918,Blue Sky Group (60866) - Bestuurder
"Bosch, René Gerhardus Lambertus",P125621,1.0,206,1183,Ten Cate (60019) - Bestuurder
"Pee, Cornelis de",P123708,1.0,206,513,ABN AMRO Bank (7113) - Bestuurder
"Dorsten, Franciscus Willibrordus van",P111859,1.0,NA,NA,DuPont  (60697) - Bestuursvoorzitter
"Brandwijk, Hans Adrie",P106583,1.0,206,366,Banden- en Wielen (60374) - Lid Raad van Toezicht
"Kuijsten, Johannes Adriaan",P131415,1.0,NA,NA,Philips (900) - Bestuurder
"Scholing, Jacqueline Elisabeth Maria",P116574,1.0,NA,NA,ORTEC (60818) - Bestuurder
"Put, Leendert Jeroen van der",P109790,1.0,206,1015,PostNL (60463) - Bestuurder
"Beukhof, Richard Charles",P127522,1.0,NA,NA,Heineken (1757) - Bestuurder
"Berkemeijer, Joseph Nicolaas",P120185,1.0,206,386,Medewerkers Apotheken (15565) - Lid Raad van Toezicht
"Spaan, Cornelis",P118070,1.0,206,956,Fysiotherapeuten (7) - Bestuurder
"Penninx, Egidius Gijbertus Maria",P109024,1.0,NA,NA,VNU (60127) - Bestuursvoorzitter
"Hoogstraaten, Patricia Elza Hillegonda",P118163,1.0,206,115,Levensmiddelen (42467) - Bestuurder
"Wortmann-Kool, Cornelia Maria",P130426,1.0,206,183,ABP (30) - Bestuurder
Pisuisse,P121025,1.0,206,938,Gasunie (36105) - Bestuursvoorzitter
"Dik, Roel",P109910,0.507,151,58,Slagersbedrijf (10561) - Bestuurder<br />Schoenmakerij (32181) - Bestuurder
"Bruijne, Pieter Cornelis de",P120738,1.0,NA,NA,Legal & General (48965) - Bestuursvoorzitter
"Schikhof, Raimond Léon",P121432,0.418,49,206,Randstad (44057) - Mede-beleidsbepaler<br />STIPP (60792) - Bestuurder<br />Flexsecurity (60798) - Bestuursvoorzitter
"Bastiaansen, Cornelis Antonius Jozef",P131592,1.0,206,146,Bouwnijverheid (10547) - Bestuurder
"Bakker, Age Feite Poppe",P113964,1.0,206,334,Zorg en Welzijn (44862) - Bestuurder
"Roest, Gerardus Petrus Maria Joseph",P121288,0.49,152,97,Landbouw (10565) - Bestuursvoorzitter<br />Bloemen en Planten (60929) - Bestuursvoorzitter
"Zeguers, Floor Daphne",P111956,1.0,NA,NA,Citigroup (41098) - Bestuurder
"Ruiter, Gerrit de",P107495,1.0,206,1052,Bibliotheken (17687) - Bestuurder
"Vink, Albertus Jacobus",P107775,0.511,146,165,Werk en (re)Integratie (PWRI) (60655) - Bestuurder<br />Zorg en Welzijn (44862) - Bestuurder
"Bil, Anton Simon",P126161,1.0,206,1020,Transport (5580) - Bestuurder
"Elberse, Robertus Minte Jan",P131796,1.0,206,612,Openbaar Vervoer (60276) - Bestuurder
"Veen, Frans Auke van de",P109116,1.0,206,89,Slagersbedrijf (10561) - Bestuurder
"Kleijer-Blok, Lena Irene",P114495,1.0,206,440,Technische Groothandel Vroegpensioen (60788) - Bestuurder
"Bonewit, Peter Philip",P102892,1.0,206,983,APF (7781) - Mede-beleidsbepaler
"Loonen - van Es, Nicole Cornelia Geertruida",P130919,1.0,206,187,ABP  (30) - Lid Raad van Toezicht
"Braker, Johannes Garrelt",P111640,1.0,206,490,Reisbranche (60709) - Voorzitter Raad van Toezicht
"Nielsen, Frants Otto",P128123,1.0,206,1089,Hoogovens (7044) - Bestuurder
"Broekman, Gerardus Johannes",P112623,1.0,206,768,Urenco (60592) - Bestuurder
"Arkel-Rijbroek, Anne Marike van",P128874,1.0,206,893,Accountancy (37678) - Bestuurder
"Hetem, Michael Antonius Johannes",P104583,1.0,206,698,Textielverzorging (32595) - Bestuurder
"Wentrup, Adolf Johannes Antonius Joseph",P131763,1.0,206,1100,PepsiCo Nederland (60819) - Bestuurder
"Simon, John Fitzgerald",P114319,1.0,206,656,Zuivel en aanverwante industrie (R129401) - Lid Raad van Toezicht
"Ende, Hendrik Jan van ´t",P126839,1.0,NA,NA,Legal & General (48965) - Bestuurder
"Fakkert, Anonius Wilhelmus Maria",P105486,1.0,206,600,Campina (60564) - Bestuurder
"Frijns, Herbert",P105857,1.0,NA,NA,Martinair Vliegers (60327) - Bestuurder
"Benschop, Andre",P131368,1.0,206,1002,Henkel (342) - Bestuurder
"Rozendaal, van",P120583,1.0,NA,NA,Sligro (60834) - Bestuursvoorzitter
"Belilos-Wessels, Alida Josephina Maria",P110859,1.0,206,70,KPN (60767) - Bestuurder
"Riet, Marieke van 't",P130425,1.0,NA,NA,VNU (60127) - Bestuurder
"Vos, Monica Antoinette",P130627,1.0,206,1131,Sagittarius (60689) - Bestuurder
"Spruijt, Bram Nicolaas",P104788,1.0,206,834,Xerox (60793) - Bestuurder
"Slingerland, Arrian Niels",P111682,1.0,206,460,Bouwmaterialen (16458) - Bestuurder
"Zwaagstra, Anselma Johanna Helena",P105977,1.0,206,65,KPN (60767) - Bestuurder
"Rutte, Marcellus Johannes Bartholomeus (Marcel)",P125654,1.0,NA,NA,VNU (60127) - Bestuurder
"Breimer, Pieter Heert",P118079,1.0,NA,NA,Philips (900) - Bestuurder
"Staffhorst, Maarten Adrianus Hubertus Maria",P130417,1.0,NA,NA,Allianz Nederland (46210) - Bestuurder
"Kinderen, Pavel Martinus Johannes der",P113394,1.0,NA,NA,DuPont  (60697) - Bestuurder
"Martens, Paulus Antonius Herman",P100007,1.0,NA,NA,Staples (48375) - Bestuurder
"Boersma, Onno Folkert",P109372,1.0,206,29,Agrarische (36722) - Bestuurder
"Wiss-Wegh, Geertje Johanna",P109986,1.0,NA,NA,VNU (60127) - Bestuurder
"Gram, Anne",P110723,0.317,66,445,APF (7781) - Lid Raad van Toezicht<br />Nederlandsche Bank (7837) - Lid Raad van Toezicht<br />Horeca (32868) - Lid Raad van Toezicht
"Waart, Madelon Elise van",P130607,1.0,206,503,Media PNO  (1626) - Bestuurder
"Dert, Cornelis Ludovicus",P112293,1.0,206,329,Zorg en Welzijn (44862) - Bestuurder
"Pieters, Gerrit Jan Martinus",P126700,1.0,NA,NA,Provisum (5543) - Bestuursvoorzitter
"Rebel, Gerbert",P107327,1.0,206,889,Accountancy (37678) - Bestuurder
"Lamers, Gerardus Adrianus Joseph",P102317,1.0,206,159,"Mode-, Interieur-, Tapijt- en Textielindustrie (MITT) (10541) - Bestuurder"
"Benard, Pleun",P109297,1.0,206,991,Mn Services (608) - Bestuurder
"Boonen, Peter Godfried Simon Marie",P109167,1.0,206,573,Rockwool (60085) - Bestuurder
"Bassant, Marcel Leonardus Joseph",P111150,1.0,206,1024,Transport (5580) - Bestuurder
"Ekkers, Cornelis Ludovicus",P115096,1.0,206,1068,TNO (692) - Bestuurder
"Pennings, Robert Hubertus",P129008,1.0,NA,NA,British American Tobacco (3054) - Bestuurder
"Huis in 't Veld, Gerhardus Johannes Paulus",P114940,1.0,206,1166,Consumentenbond (60754) - Bestuurder
"Kleij, Johannes Cornelis",P131346,1.0,NA,NA,Unisys (60388) - Bestuurder
"Spek- Kober, Hanna",P131144,1.0,206,1209,Roba (4257) - Bestuurder
"Uijen, Everhardus Anthonius Wilhelmus Maria",P116805,0.339,46,132,"Metalektro (PME) (10542) - Bestuurder<br />Stork (6172) - Bestuurder<br />Schilders-, Afwerkings- en Glaszetbedrijf (10549) - Lid Raad van Toezicht"
"Dorp, Willem Frank (Pim) van",P118286,1.0,206,638,Stork (6172) - Bestuurder
"Ambergen, Johannes Antonius",P131695,1.0,NA,NA,IFF (9873) - Bestuurder
"Fijma, Gijsberthus",P118499,1.0,206,1169,SC Johnson (60419) - Bestuurder
"Cohn, Paul Steven",P114881,1.0,206,1207,Roba (4257) - Bestuurder
"Andringa, Marcel René",P128828,1.0,206,316,Metalektro (PME) (10542) - Bestuurder
